setting,registered_in,readers,status
mobile_heading_4_font_size,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\css-output.php",CONNECTED
mobile_heading_5_font_size,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\css-output.php",CONNECTED
mobile_menu_breakpoint,"plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php","plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php",CONNECTED
mobile_menu_item,"plugins/aureon-studio\spacing\functions\customizer\navigation-spacing.php","plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_menu_item_height,"plugins/aureon-studio\spacing\functions\customizer\navigation-spacing.php","plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_menu_label,"plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php","plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php",CONNECTED
mobile_navigation_font_size,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\plugin-compat.php | plugins/aureon-studio\typography\functions\functions.php",CONNECTED
mobile_related_upsell_columns,"plugins/aureon-studio\woocommerce\functions\customizer\customizer.php","plugins/aureon-studio\woocommerce\functions\functions.php",CONNECTED
mobile_widget_bottom,"plugins/aureon-studio\spacing\functions\customizer\sidebar-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_widget_left,"plugins/aureon-studio\spacing\functions\customizer\sidebar-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_widget_right,"plugins/aureon-studio\spacing\functions\customizer\sidebar-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_widget_top,"plugins/aureon-studio\spacing\functions\customizer\sidebar-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
nav_alignment_setting,"themes/aureon\inc\customizer.php","themes/aureon\inc\markup.php",CONNECTED
nav_drop_point,"themes/aureon\inc\customizer.php","themes/aureon\inc\css-output.php",CONNECTED
nav_dropdown_direction,"themes/aureon\inc\customizer.php","themes/aureon\inc\markup.php | themes/aureon\inc\structure\navigation.php",CONNECTED
nav_dropdown_type,"themes/aureon\inc\customizer.php","themes/aureon\inc\css-output.php | themes/aureon\inc\general.php | themes/aureon\inc\markup.php | themes/aureon\inc\plugin-compat.php | themes/aureon\inc\structure\navigation.php",CONNECTED
nav_image,"plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\backgrounds\functions\secondary-nav-backgrounds.php","plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
nav_inner_width,"themes/aureon\inc\customizer.php","themes/aureon\inc\markup.php | plugins/aureon-studio\woocommerce\functions\functions.php",CONNECTED
nav_item_current_image,"plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\backgrounds\functions\secondary-nav-backgrounds.php","plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
nav_item_current_repeat,"plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\backgrounds\functions\secondary-nav-backgrounds.php","plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
nav_item_hover_image,"plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\backgrounds\functions\secondary-nav-backgrounds.php","plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
nav_item_hover_repeat,"plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\backgrounds\functions\secondary-nav-backgrounds.php","plugins/aureon-studio\backgrounds\functions\functions.php | plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
